country_code,country,indicator_code,indicator,year,value,unit,source,source_url,retrieved_on
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2018,34.2772,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2019,53.5483,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2020,42.0151,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2021,48.4094,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2022,72.4308,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2023,133.4889,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2024,219.8839,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2015,8.6663,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2016,9.6394,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2017,6.2181,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2018,7.6065,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2019,7.882,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2020,9.7564,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2021,7.7479,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2022,9.1044,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2023,5.8691,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,FP.CPI.TOTL.ZG,"Inflation, consumer prices",2024,4.8491,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/FP.CPI.TOTL.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2015,2.7312,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2016,-2.0803,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2017,2.8185,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2018,-2.6174,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
