price_usd,property_type,property_subtype,publication_type,construction_stage,location_key,country,province,city,neighborhood,latitude,longitude,orientation,effective_area_sqm,covered_area_sqm,total_area_sqm,semicovered_area_sqm,uncovered_area_sqm,area_per_room_sqm,area_bucket,bedrooms,bathrooms,total_rooms,room_bucket,toilets,bathroom_ratio,parking_spaces,has_parking,floor_number,floors_in_building,is_high_floor,age_years,age_bucket,floor_bucket,expenses_usd,distance_to_sea_blocks,amenity_count,is_apartment,is_house,is_new_construction,is_under_construction,has_balcony,has_terrace,has_garden,has_patio,has_pool,has_elevator,has_security,has_storage_room,has_laundry_room,has_air_conditioning,has_heating,has_grill,has_gym,has_doorman,is_furnished,is_gated_community,is_near_beach,is_near_park,is_near_sea,is_near_subway,is_owner_direct,pets_allowed
260000,House,,,,AR | Villa Devoto | Capital Federal | Venta Villa Devoto,AR,Villa Devoto,Capital Federal,Venta Villa Devoto,,,,249.0,249.0,,,,62.25,06_luxury_scale,3.0,2.0,4.0,04_three_bedroom,,0.67,,0,4,,0,,,03_mid,,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450000,House,,,,AR | San Cristobal | Capital Federal,AR,San Cristobal,Capital Federal,,,,,297.0,297.0,,,,59.4,06_luxury_scale,4.0,3.0,5.0,05_four_plus_bedroom,1,0.75,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269000,House,,,,AR | Adrogué | Almirante Brown,AR,Adrogué,Almirante Brown,,,,,357.0,357.0,,,,89.25,06_luxury_scale,3.0,2.0,4.0,04_three_bedroom,1,0.67,2,1,,,0,,,,,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158000,House,,,new,AR | Los Pinos | Exaltación de la Cruz,AR,Los Pinos,Exaltación de la Cruz,,,,,181.0,181.0,,,,45.25,05_extra_large,3.0,3.0,4.0,04_three_bedroom,,1.0,,0,,,0,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
299000,House,,,,AR | Campos de Echeverría | Canning | Campos de Echeverría. Canning,AR,Campos de Echeverría,Canning,Campos de Echeverría. Canning,,,,200.0,200.0,,,,40.0,05_extra_large,4.0,2.0,5.0,05_four_plus_bedroom,,0.5,1,1,,,0,,,,,,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170000,House,Duplex,,,AR | Docta Avenida | DOCTA,AR,Docta Avenida,DOCTA,,,,,180.0,180.0,180,,,45.0,05_extra_large,3.0,2.0,4.0,04_three_bedroom,1,0.67,,0,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295000,House,,,,AR | La Horqueta | San Isidro | La Horqueta,AR,La Horqueta,San Isidro,La Horqueta,,,,228.0,228.0,,,,57.0,06_luxury_scale,3.0,1.0,4.0,04_three_bedroom,1,0.33,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160000,House,,,,AR | Mar del Plata | Buenos Aires Costa Atlántica,AR,Mar del Plata,Buenos Aires Costa Atlántica,,,,,150.0,150.0,150,,,30.0,05_extra_large,4.0,2.0,5.0,05_four_plus_bedroom,,0.5,,0,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
785000,House,,,,AR | Santa Bárbara | Troncos del Talar | Venta Al Agua en Santa Bárbara 3 Dorm. Orientación Nw,AR,Santa Bárbara,Troncos del Talar,Venta Al Agua en Santa Bárbara 3 Dorm. Orientación Nw,,,N,972.0,972.0,973,,,194.4,06_luxury_scale,3.0,2.0,5.0,04_three_bedroom,1,0.67,2,1,,,0,,,,533,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340000,House,,,,AR | San Miguel | GBA Norte | Venta con Pileta - Barrio Cerrado Praderas de San Ignacio - San Miguel,AR,San Miguel,GBA Norte,Venta con Pileta - Barrio Cerrado Praderas de San Ignacio - San Miguel,,,,1100.0,1100.0,,,,275.0,06_luxury_scale,3.0,3.0,4.0,04_three_bedroom,1,1.0,1,1,,,0,,,,,,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330000,House,,,,AR | La Comarca | General Pacheco,AR,La Comarca,General Pacheco,,,,,150.0,150.0,573.0,,,37.5,05_extra_large,3.0,3.0,4.0,04_three_bedroom,,1.0,2,1,,,0,13,03_11_to_30,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
288000,House,,,,AR | El Olivar | Manuel Alberti,AR,El Olivar,Manuel Alberti,,,,,182.0,182.0,,,,45.5,05_extra_large,3.0,2.0,4.0,04_three_bedroom,,0.67,2,1,,,0,,,,333,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380000,House,,,,AR | Martínez | San Isidro,AR,Martínez,San Isidro,,,,,334.0,334.0,,,,66.8,06_luxury_scale,4.0,4.0,5.0,05_four_plus_bedroom,1,1.0,1,1,,,0,,,,,,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135000,House,,,,AR | Villa Elisa | La Plata | Venta Villa Elisa,AR,Villa Elisa,La Plata,Venta Villa Elisa,,,,800.0,800.0,800,,,200.0,06_luxury_scale,3.0,2.0,4.0,04_three_bedroom,,0.67,2,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550000,House,,,,AR | Norte Playa | Pinamar | Venta: Zona Norte Playa. a m del Mar,AR,Norte Playa,Pinamar,Venta: Zona Norte Playa. a m del Mar,,,,640.0,640.0,,,,160.0,06_luxury_scale,3.0,4.0,4.0,04_three_bedroom,,1.33,2,1,,,0,,,,,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
125000,House,,,,AR | San Miguel del Monte | San Miguel del Monte,AR,San Miguel del Monte,San Miguel del Monte,,,,,,,,,,,,2.0,2.0,3.0,03_two_bedroom,,1.0,,0,,,0,,,,33,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1890000,House,,,,AR | Lomas de San Isidro | San Isidro,AR,Lomas de San Isidro,San Isidro,,,,,,,,,,,,4.0,4.0,6.0,05_four_plus_bedroom,1,1.0,6,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99000,House,,,,AR | Ituzaingó Norte | Ituzaingó,AR,Ituzaingó Norte,Ituzaingó,,,,,305.0,305.0,,,,101.67,06_luxury_scale,1.0,1.0,3.0,02_one_bedroom,,1.0,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1490000,House,,,,AR | Villa Devoto | Capital Federal,AR,Villa Devoto,Capital Federal,,,,,500.0,500.0,,,,71.43,06_luxury_scale,4.0,4.0,7.0,05_four_plus_bedroom,1,1.0,4,1,,,0,,,,,,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
319000,House,,,,AR | Hurlingham | Hurlingham | Hurlingham,AR,Hurlingham,Hurlingham,Hurlingham,,,,370.0,370.0,,,,61.67,06_luxury_scale,4.0,2.0,6.0,05_four_plus_bedroom,1,0.5,2,1,3,,0,,,02_low,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242000,House,,,,AR | San Carlos de Bariloche | Río Negro,AR,San Carlos de Bariloche,Río Negro,,,,,72.0,72.0,,,,24.0,03_medium,2.0,1.0,3.0,03_two_bedroom,1,0.5,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223000,House,,,,AR | San Carlos de Bariloche | Río Negro | Av Pioneros Bariloche en Venta,AR,San Carlos de Bariloche,Río Negro,Av Pioneros Bariloche en Venta,,,,72.0,72.0,,,,24.0,03_medium,2.0,1.0,3.0,03_two_bedroom,1,0.5,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250000,House,,,new,AR | San Carlos de Bariloche | Río Negro | Venta a Estrenar de 4 Ambientes en El Estribo Bariloche,AR,San Carlos de Bariloche,Río Negro,Venta a Estrenar de 4 Ambientes en El Estribo Bariloche,,,,91.0,91.0,,,,22.75,04_large,3.0,2.0,4.0,04_three_bedroom,1,0.67,1,1,,,0,,,,,,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,House,,,,AR | San Carlos de Bariloche | Río Negro | Venta de 3 Ambientes en El Estribo Bariloche,AR,San Carlos de Bariloche,Río Negro,Venta de 3 Ambientes en El Estribo Bariloche,,,,72.0,72.0,,,,24.0,03_medium,2.0,1.0,3.0,03_two_bedroom,1,0.5,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232000,House,,,,AR | San Carlos de Bariloche | Río Negro | Venta de 3 Ambientes en El Estribo Bariloche,AR,San Carlos de Bariloche,Río Negro,Venta de 3 Ambientes en El Estribo Bariloche,,,,72.0,72.0,,,,24.0,03_medium,2.0,1.0,3.0,03_two_bedroom,1,0.5,1,1,,,0,,,,,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230000,House,,developer,,AR | San Carlos de Bariloche | Río Negro | Venta de 3 Ambientes en El Estribo Bariloche,AR,San Carlos de Bariloche,Río Negro,Venta de 3 Ambientes en El Estribo Bariloche,,,,72.0,72.0,,,,24.0,03_medium,2.0,1.0,3.0,03_two_bedroom,1,0.5,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250000,House,,developer,,AR | San Carlos de Bariloche | Río Negro | Venta de 4 Ambientes en El Estribo Bariloche,AR,San Carlos de Bariloche,Río Negro,Venta de 4 Ambientes en El Estribo Bariloche,,,,186.0,186.0,,,,46.5,05_extra_large,3.0,2.0,4.0,04_three_bedroom,1,0.67,1,1,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
330000,House,,,,AR | Agronomía | Capital Federal,AR,Agronomía,Capital Federal,,,,,364.0,364.0,,,,91.0,06_luxury_scale,3.0,2.0,4.0,04_three_bedroom,,0.67,1,1,,,0,,,,,,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
275000,House,,,,AR | Floresta | Capital Federal,AR,Floresta,Capital Federal,,,,,280.0,280.0,,,,56.0,06_luxury_scale,3.0,3.0,5.0,04_three_bedroom,,1.0,1,1,,,0,,,,,,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410000,House,,,,AR | Liniers | Capital Federal,AR,Liniers,Capital Federal,,,,,286.0,286.0,,,,57.2,06_luxury_scale,4.0,3.0,5.0,05_four_plus_bedroom,1,0.75,2,1,,,0,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349000,House,,,,AR | Villa Devoto | Capital Federal | Devoto a Reciclar Lote Propio Plaza Arenales Devoto Caba,AR,Villa Devoto,Capital Federal,Devoto a Reciclar Lote Propio Plaza Arenales Devoto Caba,,,,155.0,155.0,,,,31.0,05_extra_large,4.0,3.0,5.0,05_four_plus_bedroom,1,0.75,,0,,,0,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
355000,House,,,,AR | Flores | Capital Federal | Flores,AR,Flores,Capital Federal,Flores,,,,215.0,215.0,,,,53.75,06_luxury_scale,3.0,3.0,4.0,04_three_bedroom,1,1.0,2,1,,,0,,,,,,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
